(0, 1666326)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(12, 0)
(13, 0)
(14, 0)
(15, 0)
(16, 0)
(17, 0)
(18, 0)
(19, 0)
(20, 0)
(21, 0)
(22, 0)
(23, 0)
(24, 0)
(25, 0)
(26, 0)
(27, 0)
(28, 0)
(29, 0)
(30, 0)
(31, 0)
(32, 0)
(33, 0)
(34, 0)
(35, 0)
(36, 0)
(37, 0)
(38, 0)
(39, 0)
(40, 0)
(41, 0)
(42, 0)
(43, 0)
(44, 0)
(45, 0)
(46, 0)
(47, 0)
(48, 0)
(49, 0)
(50, 0)
(51, 0)
(52, 0)
(53, 0)
(54, 0)
(55, 30704)
(56, 133569)
(57, 226098)
(58, 167034)
(59, 74335)
(60, 40780)
(61, 51017)
(62, 89055)
(63, 138324)
(64, 197815)
(65, 255727)
(66, 252786)
(67, 234085)
(68, 207065)
(69, 154445)
(70, 115729)
(71, 89511)
(72, 62425)
(73, 47100)
(74, 38831)
(75, 29319)
(76, 24163)
(77, 21992)
(78, 17583)
(79, 15497)
(80, 15238)
(81, 12087)
(82, 11176)
(83, 10713)
(84, 9298)
(85, 9269)
(86, 8159)
(87, 7848)
(88, 7832)
(89, 7011)
(90, 6824)
(91, 6968)
(92, 6516)
(93, 6538)
(94, 6724)
(95, 6501)
(96, 6633)
(97, 7092)
(98, 6912)
(99, 7532)
(100, 10278)
(101, 19355)
(102, 49066)
(103, 106390)
(104, 141017)
(105, 141027)
(106, 121555)
(107, 90837)
(108, 82420)
(109, 87990)
(110, 89639)
(111, 102626)
(112, 112315)
(113, 115537)
(114, 122000)
(115, 127348)
(116, 110200)
(117, 96339)
(118, 88965)
(119, 76686)
(120, 74053)
(121, 77766)
(122, 74160)
(123, 71677)
(124, 71039)
(125, 61356)
(126, 53637)
(127, 48585)
(128, 38955)
(129, 33224)
(130, 29489)
(131, 24986)
(132, 23085)
(133, 23004)
(134, 22790)
(135, 26017)
(136, 33564)
(137, 39863)
(138, 49634)
(139, 63438)
(140, 68146)
(141, 69000)
(142, 65501)
(143, 48266)
(144, 32680)
(145, 19879)
(146, 9433)
(147, 4811)
(148, 2647)
(149, 1576)
(150, 1169)
(151, 1024)
(152, 818)
(153, 740)
(154, 764)
(155, 662)
(156, 624)
(157, 639)
(158, 574)
(159, 554)
(160, 581)
(161, 479)
(162, 452)
(163, 538)
(164, 440)
(165, 421)
(166, 445)
(167, 380)
(168, 317)
(169, 349)
(170, 313)
(171, 310)
(172, 322)
(173, 303)
(174, 269)
(175, 267)
(176, 225)
(177, 222)
(178, 184)
(179, 193)
(180, 152)
(181, 131)
(182, 153)
(183, 133)
(184, 125)
(185, 123)
(186, 98)
(187, 99)
(188, 96)
(189, 116)
(190, 73)
(191, 84)
(192, 87)
(193, 78)
(194, 75)
(195, 58)
(196, 74)
(197, 59)
(198, 55)
(199, 63)
(200, 53)
(201, 44)
(202, 52)
(203, 57)
(204, 55)
(205, 36)
(206, 46)
(207, 48)
(208, 45)
(209, 32)
(210, 37)
(211, 40)
(212, 22)
(213, 31)
(214, 28)
(215, 41)
(216, 24)
(217, 25)
(218, 20)
(219, 22)
(220, 17)
(221, 15)
(222, 22)
(223, 20)
(224, 27)
(225, 19)
(226, 16)
(227, 18)
(228, 14)
(229, 11)
(230, 7)
(231, 14)
(232, 8)
(233, 8)
(234, 7)
(235, 8)
(236, 5)
(237, 6)
(238, 6)
(239, 3)
(240, 3)
(241, 4)
(242, 2)
(243, 3)
(244, 0)
(245, 2)
(246, 0)
(247, 0)
(248, 1)
(249, 0)
(250, 1)
(251, 0)
(252, 2)
(253, 0)
(254, 1)
(255, 0)
(256, 0)
(257, 0)
(258, 0)
(259, 0)
(260, 0)
(261, 0)
(262, 0)
(263, 0)
(264, 0)
(265, 0)
(266, 0)
(267, 0)
(268, 0)
(269, 0)
(270, 0)
(271, 0)
(272, 0)
(273, 0)
(274, 0)
(275, 0)
(276, 0)
(277, 0)
(278, 0)
(279, 0)
(280, 0)
(281, 0)
(282, 0)
(283, 0)
(284, 0)
(285, 0)
(286, 0)
(287, 0)
(288, 0)
(289, 0)
(290, 0)
(291, 0)
(292, 0)
(293, 0)
(294, 0)
(295, 0)
(296, 0)
(297, 0)
(298, 0)
(299, 0)
